symbol,name,price,irr,npv,eps_roc,eps_diluted,MOP,QA,MCap,PE,error_message,ROE
VALE,Vale S.A.,14.49,0.2740340045099474,35.50982217542345,0.32164826850689054,0.4562362346031487,0.45836873406966866,1.3938604906125804,72330889881.6,4.402448710888611,,
MS,Morgan Stanley,102.91,0.10363948549949775,110.95188606480261,0.29127729164896776,0.1353254911621605,0.08791888488811328,inf,187765469600.0,13.593442073836743,,
JPM,JPMorgan Chase & Co.,163.04,0.0737691998264065,149.47755542865426,0.2206251261861497,0.17118257786781463,0.9792877876579975,11.898670659846584,487189606400.0,10.351626988939302,,
ORCL,Oracle Corporation,89.94,0.4966558158709413,841.3757068929766,0.8446307612145326,2.418548212351029,0.3866943353343709,2.299577884456216,246271917834.24,17.85004730504587,,
NKE,"NIKE, Inc.",149.59,-0.04711957432296365,62.32556299016989,0.30355586866401657,0.5140702840985593,0.15575463649018814,2.009199917304114,191189480706.56,41.24368954077178,,
PG,The Procter & Gamble Company,143.55,-0.64950383850422,1.30483322010741,-0.4833908045977011,0.30128043130317583,0.23629102183452008,0.5163588071954606,348585336000.0,24.675227526911787,,
BBD,Banco Bradesco S.A.,3.8,,0.0,5.772001713567301,0.15504957335499214,0.0,,,7.644903013493656,,
PFE,Pfizer Inc.,43.94,0.5009117370845928,397.9276092266648,0.7788183069838104,0.19749768580728,0.20902930228118735,1.042476851851852,246357949460.47998,18.595110371938315,,
NOK,Nokia Corporation,5.58,,-0.6069480029491334,0.11538461538461536,-0.1351636747624076,0.04695222405271829,1.3581328118357283,31411660953.600002,-14.142013179025424,,
TWTR,"Twitter, Inc.",67.22,,-1747397.6266879793,-6.217948717948719,0.049230624619576765,0.007173169150690637,4.422876385300073,53639340126.72,139.26849389614208,,
XOM,Exxon Mobil Corporation,57.59,0.6686628519289748,937.0810226998017,0.7583808188961905,-0.07859681396936022,-0.164906425347475,0.46205844259531964,243810724085.76,-18.473731432858216,,
VIPS,Vipshop Holdings Limited,11.96,1.1993062333912272,79.4706387698408,-0.031065819669195693,0.21778889590971684,0.05753164078450054,0.8856381140871668,8087459927.040001,8.495323959996925,,
AXP,American Express Company,175.72,0.35389609323290605,739.8363265717254,0.5933235088716071,0.20016659461625247,0.0,0.013866807984455044,139597770977.28,29.767989886219976,,
BMY,Bristol-Myers Squibb Company,60.23,1.2263723523632883,11986.067744846992,1.575487540035947,-0.1248993292716665,0.05120184392492591,1.4736897274633123,133837682408.95999,-26.40917700334711,,
V,Visa Inc.,231.59,0.0004901900920544211,132.0579277175504,0.34573237613090213,0.2909188284518828,0.6450608807104276,1.9052377670572018,390840562421.76,36.04737573637703,,
KEY,KeyCorp,21.14,0.378878739388407,88.92594422435761,0.46247563352826504,0.1324953000925952,0.024977565061322166,0.07905138339920949,20217661461.760002,8.572605768742058,,
RF,Regions Financial Corporation,20.65,0.2177743629927147,39.473133931213496,0.3122751419595958,0.14296607467176864,0.15889049222382556,-0.018545994065281898,19711230515.199997,7.67366175329713,,
KR,The Kroger Co.,39.98,0.37032044979915657,155.1456754545145,0.4127697573903646,0.12195057902891206,0.020981448776585306,0.3540283743329429,29730647879.679996,25.689130060292847,,
HAL,Halliburton Company,21.0,,-81.9929796050762,-2.745833383696147,0.02789266134461864,0.09435790931118034,1.611852522053834,18700479168.0,128.89655172413794,,
BABA,Alibaba Group Holding Limited,145.08,0.6461131880147557,1260.5906006455843,0.39255695007780467,0.14468310611564597,0.12502352608223463,1.7049062163780813,393298815836.16003,17.44635902655405,,
MRO,Marathon Oil Corporation,12.85,0.2173132439885772,23.46025937077919,0.2330519882884191,-0.05070396183170401,-0.3309654504359057,1.2662819455894476,10130926841.6,-18.6859159800738,,
GM,General Motors Company,52.23,,-15.798607659475827,-2.278975418443086,0.24283346983866974,0.05416173408988856,0.8846076836440996,75823332257.28,5.9444450545140795,,
FCX,Freeport-McMoRan Inc.,32.24,-0.6377243947851555,0.982049384010781,-0.5784654684879311,0.1479319242096484,0.13832934216086773,1.5832601697395376,47330255431.68,16.665285412262158,,
CRM,"salesforce.com, inc.",285.63,1.7601922060872854,624479.0070424995,3.455714132844433,0.05229862693868475,0.021409749670619236,1.2347134476534296,279631770000.0,113.30475765306122,,
SQ,"Square, Inc.",262.5,,-0.05968853237434248,-0.5652941176470588,0.23419091952429477,-0.0019810313745251685,1.8662883921491074,104316450000.0,208.4568650905052,,
NUE,Nucor Corporation,100.92,0.6000217584615888,1264.3030485694237,0.7298311792796729,0.2615252153780085,0.08008621596255508,2.252621144200985,29639700207.36,9.848495948457993,,
SWN,Southwestern Energy Company,4.82,-0.8248748665287877,0.1551115572165541,-0.8448347844022633,-3.3512767425810903,0.006932409012131715,0.6630434782608695,4892203445.76,-2.686824427660626,,
LOW,"Lowe's Companies, Inc.",207.87,-0.3400702234546289,12.684546701455185,-0.068347595754287,4.850519031141869,0.10767101577061731,0.3274426054458089,143936052698.88,20.908596090740478,,
RAD,Rite Aid Corporation,14.7,,-1.5745625768939688e+19,116.41445333136365,-0.06646916377516898,0.0019605094820831135,0.6647406438704453,809775960.0,-19.582545454545453,,
SLB,Schlumberger Limited,29.01,,-0.31166877531309733,-1.2757414873391464,0.08168974681773675,0.07016651836786576,0.9117338671242017,40568452907.520004,39.682954990215265,,
ABBV,AbbVie Inc.,107.07,-0.16264942724112463,25.503018557250407,0.022653703862519137,0.48712371831191853,0.27423369138066545,0.7279229615156484,189211966026.24,28.426659162539394,,
GIS,"General Mills, Inc.",60.54,-0.09555353698873648,22.13032152750698,0.05419202306338472,0.2445480929238307,0.18583880399404204,0.47593699339446877,36668595617.28,16.0434012722316,,
VZ,Verizon Communications Inc.,54.37,0.2798589269290235,144.3532128047836,0.39960857472515554,0.2819493859243927,0.22447229757116577,1.3312657589510841,225098327879.68,11.262939969984993,,
XRX,Xerox Holdings Corporation,20.77,0.03665207604341525,15.794884526438537,0.13893273433705688,0.05251060820367751,0.027342637425234975,1.9935431799838579,3707154220.0,13.078036801346801,,
X,United States Steel Corporation,21.85,0.2929927059338948,44.10331558012536,0.034363375791050976,0.20347999556688462,-0.07535160661123087,1.1408132530120483,5902318475.200001,6.423423965141613,,
DVN,Devon Energy Corporation,33.09,0.8589218697054313,784.431016214774,0.6641866681017472,0.04743833017077799,-0.02340513670256835,2.263888888888889,22401930000.000004,81.46156363636365,,
IBN,ICICI Bank Limited,19.54,0.3195261103966369,29.585194232907785,-0.34570841323563684,0.127898504590807,0.0,,67738143098.88,24.539671298256874,,
MPC,Marathon Petroleum Corporation,61.89,0.8285208971996645,2003.5118954708032,0.9189722266645342,0.2817206671074866,-0.037102853293970964,1.2952818744812615,39498320789.76,5.245599165471378,,
PM,Philip Morris International Inc.,101.82,-0.06059440575306663,45.13487399519954,0.08719080936879609,-0.8552907439091982,0.40325503589600614,0.6067295437165434,158690546058.24,17.878458244111346,,
MSCI,MSCI Inc.,661.37,-0.011208549780047927,332.80148054352003,0.48520658263305316,-1.6693955308719761,0.5218645857295372,1.884572736107672,54524866596.48,77.81300937763979,,
RDN,Radian Group Inc.,22.3,1.7931667235695126,17637.044203959427,1.718566536203522,0.13287812214723532,0.0,inf,4137920921.6,7.64921674675935,,
KO,The Coca-Cola Company,53.89,1.111463728689865,8385.238232424364,1.6811564648239625,0.37369041837230277,0.2725207487732477,1.0940346551606055,232622639728.64,28.769348929322938,,
SRC,"Spirit Realty Capital, Inc.",48.89,-0.01305235264673632,26.47887405015809,0.24767850651205647,0.03660364666194967,0.4046445844542272,0.5741385592182675,5822994560.0,43.443828597699024,,
COP,ConocoPhillips,65.02,,-252924.48161562113,-4.7082965144820825,0.05000574079952453,-0.08272998296422487,2.0618710398807307,87066977438.72,47.373515796866556,,
CHK,Chesapeake Energy Corporation,58.59,-0.5949017120640717,5.8679076498298475,-0.6478585549936084,2.1577878691840864,-0.03800383877159309,0.3581124757595346,5758272072.0,-3.586111467439302,,
DIS,The Walt Disney Company,176.0,0.055260204817080494,145.419524011621,0.23038012652705064,0.012921660995748246,0.05802287881568483,1.2643833558660058,319814877184.0,284.16341030195383,,
LEN,Lennar Corporation,99.96,0.07121141410487297,90.37477784323458,0.2208439554145667,0.18286008735829756,0.13854374260244653,3.0548700738347816,27458512999.679996,9.130031337321217,,
CVX,Chevron Corporation,100.6,,-554217891.9998491,-9.23683211900425,0.026989812041955726,-0.06453832393009495,0.9197132939638462,194551347609.59998,53.77867900752718,,
AUY,Yamana Gold Inc.,3.96,,,,0.21,0.2698270339525945,1.7333635129017655,3827078576.64,22.59903191489362,Array must not contain infs or NaNs,0.0340163749038766
WMT,Walmart Inc.,143.17,-0.4786073102168208,4.336573348968214,-0.27963180436584695,0.11593233243163742,0.04032542193432543,0.48699875870257436,399229540418.55994,39.87391343283582,,
CLF,Cleveland-Cliffs Inc.,20.5,1.4570439805640665,4181.616547060756,1.200174825174825,0.35990827480539245,-0.009712364587224505,0.501877773984295,10244567664.0,13.053061221142856,,
MRK,"Merck & Co., Inc.",73.61,0.2010924470650448,139.77973183984537,0.4896450128925821,0.19389193422083006,0.17675126057423846,0.7850843488125298,186334144522.24,33.46870041285227,,
MGM,MGM Resorts International,44.62,-0.2665120597552516,4.754331085582065,-0.007564204233514282,-0.10698214084274933,-0.4036646453892054,3.1575943547904943,21501485600.0,-18.058081596676733,,
GFI,Gold Fields Limited,8.11,,-625110.3586715393,4.15,0.10494992016257802,0.38331491996608513,1.3510092744135298,7199384805.12,17.38091145762102,,
KGC,Kinross Gold Corporation,5.28,0.08162767381946812,4.913988579787003,-3.1169100271179278,0.19736048668412093,0.4453410547301467,1.0210619994067043,6662990315.52,5.151349009900991,,
SCHW,The Charles Schwab Corporation,75.59,0.1091752014779348,84.51205902961655,0.3750929540806841,0.09144111557362736,0.0,,136720390109.44,31.11364906154518,,
NBR,Nabors Industries Ltd.,89.97,,-242.43234406436545,-0.21532677848467324,-0.5356220995458559,-0.13580185591386865,1.88348862880212,741492253.5,-1.1208387885427242,,
JNJ,Johnson & Johnson,164.36,3.821180473292003,28772282.478493623,4.92103802675646,0.27005110862006726,0.2411362975879105,0.9858800272986139,432674412800.00006,24.35288456126527,,
BSX,Boston Scientific Corporation,44.7,5.357841112916791,98352628.18186878,7.116268015599648,0.03721763041358252,0.06900030263290628,1.4515077424612877,63646094284.8,109.16170103092784,,
ITUB,Itaú Unibanco Holding S.A.,5.28,0.5242853147866671,18.11834845505336,0.0371452937602359,0.1840820231675059,0.0,0.5743392644994969,51637820129.28,10.4938971700059,,
BK,The Bank of New York Mellon Corporation,51.55,0.0069219408674621175,33.93481645807957,0.09177215189873422,0.07993272988079339,0.2881465239262221,inf,44496620524.799995,12.326915016501648,,
HMY,Harmony Gold Mining Company Limited,3.18,9.412897892500585,1054855243.6486518,-10.29020638246327,0.12485492493624166,0.10229314930630436,1.043591524835012,1940152903.68,0.40373042778549634,,
APA,APA Corporation,21.91,,-0.03039537524554638,-1.4456076639951816,0.27270448659035845,0.03900789177001127,1.0351681957186545,8282462370.56,10.149485294117648,,
HOME,At Home Group Inc.,36.99,-0.05360752182251083,15.046341115349282,0.2648031773652997,0.5989156697839516,0.14083254320655036,0.4346167169544197,2425537872.0,9.111207195634492,,
KOS,Kosmos Energy Ltd.,2.7,,-0.26727965126625397,-0.4131104788999526,-0.4638237091802882,-0.23903372125273464,0.5895688604277715,1102882521.6000001,-6.2122847172502444,,
DAL,"Delta Air Lines, Inc.",43.53,0.05147585913345876,36.81017970370127,0.017106821415828033,-4.0030057108506165,-0.24861070488446915,1.0467759151127016,27855500298.24,-4.164080192221054,,
INFY,Infosys Limited,23.68,-0.20644731472694555,3.803454197874108,0.04874274661508715,0.277460716530484,0.2470319297986874,2.5450367647058822,99122822021.12,35.542971668459586,,
CCL,Carnival Corporation & plc,25.44,0.2123220275950104,41.98257912967982,0.10025769941999063,-0.4694654524875238,-1.2102252413299963,1.1775270550310846,24774108610.56,-3.0528,,
MFGP,Micro Focus International plc,5.42,1.5586824082497213,543.0714519610482,0.7977422920149647,-0.33832166477729103,-0.8868377207597468,0.8621595929094671,1818892336.6399999,-1.3802337093786832,,
PBR,Petróleo Brasileiro S.A. - Petrobras,10.3,0.19237717244319774,23.255724741187635,-2.639163746890155,0.19668724615529928,0.3245720246633012,0.8278741658722593,67177632307.200005,5.865505674408452,,
LPI,"Laredo Petroleum, Inc.",82.1,,-10.995267486946839,-1.6870314842578709,23.79677177688483,0.061291332443383854,0.6750879323869531,1322598160.0,-1.6002050815747124,,
ABT,Abbott Laboratories,124.37,0.7878304704204868,5973.852856401223,1.6090920806017284,0.1926065778046294,0.15479079981507166,1.2957923910304863,220485619420.16,34.705062281994984,,
USB,U.S. Bancorp,59.79,0.034734932008490205,45.10584314893774,0.1308956199607758,0.11499066695723856,0.0,5.3187149413564505,88645851713.28,14.799700065919577,,
BA,The Boeing Company,221.39,0.4572978845684834,1364.8257250912882,0.5467198242933538,0.5530850298652156,-0.22315072732900032,0.45745875343721354,129768191279.99998,-14.77602374759697,,
GGB,Gerdau S.A.,4.94,,-29230.73188295294,-4.402462920743453,0.2469456169309238,0.1259366813313927,1.2401897450676238,8425565358.080001,5.790330491874362,,
DB,Deutsche Bank Aktiengesellschaft,12.7,,-0.0030510619509783493,-0.7451806715931033,0.038985063088434246,0.0,,26208989593.6,9.158493727235935,,
KNX,Knight-Swift Transportation Holdings Inc.,52.08,0.37696912383223413,247.13449408526867,0.6182402528977873,0.09192695720991825,0.12190622617736122,1.0996239168853934,8644030080.0,15.765173123015241,,
KBH,KB Home,41.18,0.12127446188961377,48.92880667534226,0.3113159839732368,0.13650458314214284,0.07837613257301752,3.0168723806801765,4070573158.72,10.226397946167806,,
PGR,The Progressive Corporation,91.56,0.36444772649510004,401.84942654485945,0.5860550950554663,0.3062736344867731,0.0,0.0,53590065070.08,9.758254211332313,,
MO,"Altria Group, Inc.",48.46,-0.3373982478330647,6.80397638826666,-0.28784457068355374,1.5039708802117804,0.5215200806103354,0.56835484938762,89364116800.0,19.714530253025302,,
MDT,Medtronic plc,130.02,-0.10837281063910731,39.348452494266695,0.14368964658617994,0.07608216952602785,0.16253278879038416,2.143025032318721,174982222440.96002,44.97347311551326,,
RIG,Transocean Ltd.,3.42,0.7204785654421046,102.70255137671774,-2.6378869047619045,0.01055385765484488,0.05964467005076142,1.6637806637806638,2226898690.56,17.6985,,
BCS,Barclays PLC,10.21,,-0.22682827045292853,-1.9515029873039582,0.0689998513895081,0.0,0.8001866087465749,43034742906.880005,6.907554546058562,,
EOG,"EOG Resources, Inc.",78.1,,-1.7968192529357547,-1.473482036399631,0.091554413883155,0.04637889892274471,1.5123149477587956,45599463500.799995,24.10751682145653,,
HPE,Hewlett Packard Enterprise Company,13.41,1.9444713080269422,20303.782917602715,2.047343492573841,0.062447947425006436,0.05525906159661997,0.7408474757177927,17540951143.68,17.090921435499514,,
OKE,"ONEOK, Inc.",57.47,0.261808270480008,146.38758794134694,0.46614463380930443,0.22295714130611016,0.2302943419303738,1.1147152163516783,25612137210.239998,19.019610124123204,,
CVS,CVS Health Corporation,84.71,,-0.7261067089206943,-0.38786284646566616,0.1016145756184269,0.051770336352742405,0.610687392166664,111780778766.07999,15.511938081354991,,
HES,Hess Corporation,75.34,,-0.5018436379533764,-0.6277351684719763,-0.025389315986595704,-0.0842082708377973,1.66543438077634,23330763217.280003,-143.89472049689442,,
GDDY,GoDaddy Inc.,71.12,,-1619.7095967763134,-3.776190476190476,-2.7741007194244602,-0.1082099677390177,0.5579898020914354,12007189600.0,62.047035684647305,,
BX,Blackstone Inc.,125.1,-0.11164540096276787,34.74942702617901,0.20422114950157366,0.3463831872945506,0.9034307151810994,1.298458800954952,85812218899.2,19.60931259495202,,
NLSN,Nielsen Holdings plc,19.72,-0.7047975943825964,0.5389309625422414,-1.401988725957337,0.2641689763930039,0.1262321144674086,1.1619644723093,7075536000.0,10.234426893371925,,
TS,Tenaris S.A.,20.16,4.281673725729781,5472130.122662312,4.714523631729389,0.015488833826073823,-0.006447001146746656,2.272658222422255,11899803525.12,67.07028539929998,,
BOX,"Box, Inc.",25.24,,-3.649132700531959,-0.10312228339611706,-0.6367217383453788,-0.04883687740830598,1.434774875619861,3825046481.9199996,-121.42549611940298,,
OXY,Occidental Petroleum Corporation,28.1,-0.5056287153758781,3.6397296747854035,-0.561052631578947,-0.25234405217600064,-0.07063844123757651,0.8416636264137176,26237952825.600002,-5.549898520084567,,
CVE,Cenovus Energy Inc.,9.57,1.1782827267020193,5476.127387276264,-3.702225610156578,0.004790300875341062,-0.15547053196968583,0.7999152183128444,19308527546.88,250.7981288659794,,
SYF,Synchrony Financial,50.23,0.13272374032901113,62.34971100688429,0.22123163184903638,0.2531085513769166,0.0,,28615981171.839996,8.738021699819168,,
MTG,MGIC Investment Corporation,15.06,0.45206760782414057,79.36205150250298,0.42538229292645835,0.12414107440621247,0.8528969783495921,1.177416139465815,5110189079.04,8.730797983301242,,
LUV,Southwest Airlines Co.,52.85,0.1120568751026616,58.962718913130715,0.1807455210942015,-0.1711109923582536,-0.4217506631299735,1.9662936317612576,31268437827.2,-19.509275452841973,,
FTI,TechnipFMC plc,7.21,6.949910039951313,497700121.5286451,-9.71352583586626,0.0400689795090282,0.05020458829479105,0.9770527690298794,3249547000.0,20.562189873417722,,
AA,Alcoa Corporation,48.49,-0.8082459970175704,0.3584771633580456,-0.752457240151691,0.08481747515497393,0.04609088951109196,1.1307497283592902,9061132340.0,21.038584686774943,,
ABEV,Ambev S.A.,2.92,-0.8047558074622336,0.15798491859168817,-0.8512903225806452,0.18394845094099632,0.24110724746912418,0.8285042625262115,45952622878.72,17.81461637438031,,
EQR,Equity Residential,81.54,-0.535624982174554,2.270244518985481,-0.3875298391281785,0.0672471105404693,0.30570497004905306,0.12156703081840278,30533223502.136993,42.44817054675957,,
TAL,TAL Education Group,4.52,1.3826010894721947,300.7387822553293,0.7215348559783515,-0.0314204762820304,-0.07355583211273746,2.4061999181350924,2914862228.4799995,-24.811191209242175,,
UNH,UnitedHealth Group Incorporated,407.08,0.029931219797616038,285.72703870759085,0.28959654328708184,0.2133670517575361,0.08176764891115988,0.7417564208782105,383842649103.36,26.480396912899668,,
GES,"Guess', Inc.",22.19,,-0.16259252756994216,-2.0764581819372587,0.30150925026503184,0.009136016549704268,1.1060155611712974,1441389173.0,8.404513284234943,,
CNC,Centene Corporation,62.82,-0.04527706753890226,28.958225473195874,0.16202651515151517,0.02763093513446096,0.028385006524771633,1.0837618716701414,36626822069.76,50.849649,,
CLDR,"Cloudera, Inc.",15.92,,-8.380724351739365,0.032342463153489764,-0.11859309588022955,-0.17976826212700947,1.5049124653714547,4715774512.64,-32.92184726935481,,
RES,"RPC, Inc.",4.31,,-0.015872410032715365,-1.0215151515151515,-0.05891516242044291,-0.1699225474760238,4.341620059071199,929774715.5199999,-24.76982489747464,,
CI,Cigna Corporation,203.89,0.054405938369116,168.22506336639495,0.210098423381764,0.16699617902252636,0.05077314933022786,0.7717228360446394,69344620120.0,8.54179282419335,,
WMB,"The Williams Companies, Inc.",25.4,0.2478734702384382,89.53437544483738,-3.3522894524722355,0.07846235764956458,0.2852701127089001,0.5575679172056921,30859984000.0,27.02920315236427,,
HBI,Hanesbrands Inc.,18.67,2.53618712866593,148348.21845714253,2.77245351647015,-0.4829932741161439,0.0009754889824213915,0.9115342631436819,6518667840.000001,-18.0286990194568,,
XL,XL Fleet Corp.,6.19,-0.5794880194182108,0.6736180134715508,-1.4946402515217017,0.014666098155578297,-0.751991346248402,37.624793570406254,862681779.5200001,21.86019765516017,,
D,"Dominion Energy, Inc.",74.58,-0.07333187038906797,30.71499687334635,0.07874686459936187,0.08597589650434767,0.289232289020604,0.4921147283962003,60296958670.08,25.807047619047616,,
CHS,"Chico's FAS, Inc.",4.89,-0.3319097365714697,0.6194583432406472,-0.24937608421804186,-0.6252940582965595,-0.25875060703855063,0.458687868527465,598858740.0,-4.859684333891007,,
CFG,"Citizens Financial Group, Inc.",45.32,0.26877270744178716,111.42721335830228,0.3573107932665044,0.08919269402378179,0.0,0.03961492913626466,19310081922.56,9.514044039388862,,
SU,Suncor Energy Inc.,20.22,4.239671082307603,4197046.810998537,4.349975682323773,0.041732637328447474,-0.2304760360068121,0.5468764811830505,30016589352.96,25.359015506958247,,
MMM,3M Company,181.04,-0.09533463361828398,66.91541972013648,0.0458669377112933,0.44828690361831575,0.21041511309967686,1.351660795168596,104756626416.64,17.678023529411764,,
JBL,Jabil Inc.,62.21,-0.5930780503202346,0.6531473325268045,-0.3809700307105793,0.29319621033738424,0.02407472512544543,0.6626318521708138,9072084300.0,15.620207604361624,,
ACN,Accenture plc,339.23,-0.2487283915728843,40.13795012790955,0.017427062101082302,0.3152449402124416,0.1469451636505655,1.4017476677362215,215118302651.52002,37.20672203521656,,
NTR,Nutrien Ltd.,64.91,2.270266317156577,247942.38636444695,2.4208333333333334,0.042854920091577944,0.08087813277214463,0.7712264150943396,37043424547.84,38.40409576763486,,
BRFS,BRF S.A.,4.66,,-287026.79602119693,2.497283235950091,0.11025472783558699,0.07553206636989894,0.9054351047464795,3767106720.0,23.48134308506648,,
LVS,Las Vegas Sands Corp.,36.9,0.20659501797691449,65.83981808201263,0.2758256441970634,-0.39522998296422485,-0.44518272425249167,1.1312256388046773,28191231590.399998,-21.133133433283355,,
EGO,Eldorado Gold Corporation,7.82,,-1843144656892.4731,21.810410940649305,0.004447485623180027,0.25561491596740965,2.2514415903097653,1427885080.0,86.95225202057311,,
GSK,GlaxoSmithKline plc,38.39,0.6624035457197686,786.7112985635229,1.0086732619596153,0.22543530741178283,0.18252734684301591,0.6434441033050389,96584247457.28,15.975803007518797,,
TEVA,Teva Pharmaceutical Industries Limited,8.95,92.97827005585717,3.675091554026676e+18,-117.07810376032332,-0.3737024221453287,0.18357545923880417,0.6534487997569128,9866390643.199999,-2.52154533844189,,
PAA,"Plains All American Pipeline, L.P.",10.03,1.1602385079355142,512.0959894708672,0.7494851928374657,0.037609372682782145,0.036882782310004296,0.7096167411239125,7195241480.959999,22.781072555205046,,
VLO,Valero Energy Corporation,67.63,0.31384621559445347,194.11319256510436,0.3214468633591121,-0.053332184745875026,-0.02405105708889295,1.0563395454055802,27648700031.039997,-27.36001868703686,,
IMAX,IMAX Corporation,17.88,2.819577033997851,490472.64639142225,4.095809432597432,-0.20467541892581084,-0.7149989416290154,1.082876487061374,1061998692.0,-11.474860385925084,,
FNB,F.N.B. Corporation,11.36,0.24859459233687198,24.269095404947763,0.2761308153744042,0.07027759650619948,0.3035398230088496,0.766629711751663,3629735930.8799996,10.373281824914287,,
HD,"The Home Depot, Inc.",337.49,-0.025000758651390176,170.2276419711249,0.23262462296911968,7.047046584209918,0.13835440163500112,0.5115255115255115,356173446400.0,23.427886621612753,,
AR,Antero Resources Corporation,17.61,-0.5326694645785028,0.4812483572727484,-1.6616185897435898,-0.16737959198626673,-0.26240983428477854,0.5840360753325861,5527162509.12,-5.394045372964455,,
ARNC,Arconic Corporation,31.13,-0.02945166860811621,16.23258091873139,0.12874937338211334,-0.28679993391706593,0.04722466960352423,1.0855397148676171,3404906010.0,-7.890092165898618,,
VOYA,"Voya Financial, Inc.",60.98,2.487316048958521,404231.5589599818,2.6496309136872522,0.1485824075670616,0.0,0.1504599211563732,6917388260.0,4.8767824933687,,
SM,SM Energy Company,24.13,,-50.25377372765744,-2.5036616161616165,-0.3922302124996129,-0.19049123809895774,0.3489042191801473,2925062730.0,-3.8712679960581835,,
DHI,"D.R. Horton, Inc.",87.04,0.08532943718705699,84.80880085873929,0.2798589187801156,0.28040571550959215,0.1422916533324143,4.676678294903429,31177204367.36,8.540642697364833,,
HRB,"H&R Block, Inc.",25.54,0.04548484952681364,20.496056877542983,0.11285018486916948,-7.1440581519145345,0.2254334887625524,1.4614003004095164,4547524904.32,7.9708988126572695,,
BTU,Peabody Energy Corporation,12.97,,,,-19.301341589267285,-0.04685710318975391,1.465595750063243,1482471000.0,-4.302078007210751,Array must not contain infs or NaNs,-0.310898252407398
JBGS,JBG SMITH Properties,29.93,,-0.1620384419707603,-1.890661267461169,-0.028516278256206316,-0.04884333267520901,4.750499505344222,3948994130.0,-42.703320600746586,,
IPG,"The Interpublic Group of Companies, Inc.",38.88,-0.13939912319381964,10.896567924151768,0.027196560951001925,0.25457085896365467,0.11060589338925063,0.9777777777777777,15303945600.000002,20.47055421686747,,
DE,Deere & Company,349.25,-0.0723229168427949,126.88777432759818,0.23310321760047958,0.3760630574569591,0.10939051022433989,1.9819900752908965,108288801456.0,19.969985291413863,,
COG,Cabot Oil & Gas Corporation,20.34,1.4357521822731716,7825.229533442206,1.72002997002997,0.1221750189596043,0.2018417808518066,1.0261873888464634,8129165760.0,29.764483800441656,,
IBM,International Business Machines Corporation,137.49,-0.06285880737813909,63.768098540818265,0.0237166055355697,0.24904250350303597,0.09365534290487769,0.9362161077528908,123235036800.00002,23.07831020255064,,
NYT,The New York Times Company,51.35,9.355977638921857,10450137764.126621,13.45228647325439,0.10438306231746577,0.064717131661732,1.7171821969479073,8580174200.0,61.735967140618406,,
OLN,Olin Corporation,49.24,,-1.5767201404633018e+17,-83.45241691842901,-0.10186513629842181,-0.006547412295936089,0.8694636750354492,7901148880.0,-46.205845070422534,,
JCI,Johnson Controls International plc,73.57,-0.9802368404635344,0.05366397581646672,-0.9753622830550268,0.09633870323525497,0.07823632208630192,1.0038797284190106,52398319679.99999,29.05791321171918,,
VICI,VICI Properties Inc.,29.73,,,,1.6714679911468193,0.020777203171738305,0.046068552399255246,18698535563.52,12.650046716563812,Array must not contain infs or NaNs,0.13262278553030574
VST,Vistra Corp.,17.56,,-0.009620177377366406,-0.9123392593742254,-0.221738679929541,0.132744909551691,0.9598155467720685,8473033780.48,-5.3174812682118375,,
